ajaloolisest	a-ja_loo-li-sest	4.53
ajaloolisi	a-ja_loo-li-si	4.60
ajaloolist	a-ja_loo-list	9.13
ajaloolistele	a-ja_loo-lis-te-le	0.33
ajaloomuuseum	a-ja_loo_muu-seum	0.20
ajalooõpetaja	a-ja_loo_õ-pe-ta-ja	2.20
ajalooõpetajast	a-ja_loo_õ-pe-ta-jast	0.13
ajalooprofessor	a-ja_loo_pro-fes-sor	0.67
ajaloos	a-ja_loos	26.93
ajaloosaade	a-ja_loo_saa-de	0.07
ajaloost	a-ja_loost	0.07
ajalootunnis	a-ja_loo_tun-nis	0.80
ajalugu	a-ja_lu-gu	0.40
ajalukku	a-ja_luk-ku	0.07
ajama	a-ja-ma	0.20
ajamas	a-ja-mas	2.80
ajame	a-ja-me	3.27
ajamere	a-ja_me-re	0.07
ajamiseks	a-ja-mi-seks	1.47
ajamisel	a-ja-mi-sel	0.60
ajan	a-jan	6.20
ajanappuses	a-ja_nap-pu-ses	0.13
ajani	a-ja-ni	8.00
ajanud	a-ja-nud	0.33
ajapikendust	a-ja_pi-ken-dust	1.67
ajapikku	a-ja_pik-ku	11.60
ajapuudusele	a-ja_puu-du-se-le	0.07
ajaraiskamist	a-ja_rais-ka-mist	0.07
ajas	a-jas	0.07
ajasid	a-ja-sid	3.20
ajasime	a-ja-si-me	3.80
ajasin	a-ja-sin	11.53
ajasite	a-ja-si-te	0.40
ajasse	a-jas-se	0.07
ajast	a-jast	0.13
ajastu	a-jas-tu	22.20
ajastul	a-jas-tul	8.93
ajastule	a-jas-tu-le	4.00
ajastusse	a-jas-tus-se	2.60
ajastust	a-jas-tust	3.33
ajastut	a-jas-tut	3.27
ajastutest	a-jas-tu-test	0.33
ajataju	a-ja_ta-ju	0.53
ajate	a-ja-te	1.87
ajateenija	a-ja_tee-ni-ja	0.80
ajategurile	a-ja_te-gu-ri-le	0.07
ajatud	a-ja-tud	0.67
ajavad	a-ja-vad	0.40
ajavahemik	a-ja_va-he-mik	2.80
ajavahemikku	a-ja_va-he-mik-ku	1.20
ajavahemiku	a-ja_va-he-mi-ku	6.93
ajavahemikul	a-ja_va-he-mi-kul	19.33
ajavat	a-ja-vat	0.27
ajaviide	a-ja_vii-de	0.07
ajaviite	a-ja_vii-te	0.20
ajaviiteks	a-ja_vii-teks	5.20
aje	a-je	0.33
ajel	a-jel	0.27
ajendas	a-jen-das	3.33
ajendasid	a-jen-da-sid	0.87
ajendi	a-jen-di	0.27
ajendiks	a-jen-diks	6.47
ajju	aj-ju	2.27
aju	a-ju	12.87
ajud	a-jud	4.07
ajudega	a-ju-de-ga	0.60
ajudes	a-ju-des	0.33
ajukelmesse	a-ju_kel-mes-se	0.07
ajusi	a-ju-si	0.07
ajusid	a-ju-sid	4.07
ajutegevuse	a-ju_te-ge-vu-se	0.40
ajutine	a-ju-ti-ne	12.27
ajutise	a-ju-ti-se	9.33
ajutiseks	a-ju-ti-seks	0.07
ajutiselt	a-ju-ti-selt	0.07
ajutisi	a-ju-ti-si	2.00
ajutist	a-ju-tist	3.40
ajutrust	a-ju_trust	0.07
ajuvaba	a-ju_va-ba	0.27
ajuvabad	a-ju_va-bad	0.07
aka	a-ka	0.07
akab	a-kab	0.07
akadeemia	a-ka-dee-mi-a	3.93
akadeemik	a-ka-dee-mik	10.53
akadeemiku	a-ka-dee-mi-ku	1.13
akadeemilise	a-ka-dee-mi-li-se	11.27
akadeemilisi	a-ka-dee-mi-li-si	0.93
akadeemilist	a-ka-dee-mi-list	4.33
akand	a-kand	0.33
akas	a-kas	0.13
akata	a-ka-ta	0.33
akati	a-ka-ti	0.07
äke	ä-ke	0.13
aken	a-ken	16.00
akende	a-ken-de	12.87
akendega	a-ken-de-ga	2.60
akendel	a-ken-del	2.40
akendele	a-ken-de-le	1.40
akendesse	a-ken-des-se	0.93
akendest	a-ken-dest	7.13
