word,segments,pseudoword,statistics_overlap_ratio,statistics_plain_length,statistics_lexicality,statistics_ned1,statistics_old20,statistics_overlap,statistics_transition_frequencies_0,statistics_transition_frequencies_1,statistics_transition_frequencies_2,statistics_transition_frequencies_3,statistics_transition_frequencies_4,statistics_transition_frequencies_5,statistics_transition_frequencies_6,difference_statistics_plain_length,difference_statistics_ned1,difference_statistics_old20,difference_statistics_transition_frequencies_0,difference_statistics_transition_frequencies_1,difference_statistics_transition_frequencies_2,difference_statistics_transition_frequencies_3,difference_statistics_transition_frequencies_4,difference_statistics_transition_frequencies_5,difference_statistics_transition_frequencies_6
etendama,e-ten-da-ma,ibandada,2/3,6,N,0,2.65,8,2496,306,741,322,111,162,462,564,3343,940,439,1885,6147,0,0,0.1499999999999999,0,-248,-129,-54,-103,-143,0,0,0,139,-24,0,0
etendama,e-ten-da-ma,ibindaga,2/3,6,N,0,2.95,8,2496,306,741,322,112,68,462,564,3343,689,584,1885,6147,0,0,0.4500000000000002,0,-248,-129,-54,-102,-237,0,0,0,-112,121,0,0
etendama,e-ten-da-ma,ibindada,2/3,6,N,0,2.95,8,2496,306,741,322,112,68,462,564,3343,940,439,1885,6147,0,0,0.4500000000000002,0,-248,-129,-54,-102,-237,0,0,0,139,-24,0,0
etendama,e-ten-da-ma,ijandaga,2/3,6,N,1,2.9,8,2496,306,741,301,299,162,462,564,3343,689,584,1885,6147,0,1,0.3999999999999999,0,-248,-129,-75,85,-143,0,0,0,-112,121,0,0
etendama,e-ten-da-ma,ijandada,2/3,6,N,0,2.6,8,2496,306,741,301,299,162,462,564,3343,940,439,1885,6147,0,0,0.10000000000000009,0,-248,-129,-75,85,-143,0,0,0,139,-24,0,0
hägus,hä-gus,tägis,2/3,3,N,1,1.95,4,59,18,872,462,276,437,1613,0,-1,0.1499999999999999,39,4,0,0,64,1,0
hägus,hä-gus,tägas,2/3,3,N,1,1.95,4,59,18,872,462,254,447,1613,0,-1,0.1499999999999999,39,4,0,0,42,11,0
hägus,hä-gus,ärgis,2/3,3,N,2,1.9,4,7,7,872,462,276,437,1613,0,0,0.09999999999999987,-13,-7,0,0,64,1,0
hägus,hä-gus,ärgas,2/3,3,N,3,1.85,4,7,7,872,462,254,447,1613,0,1,0.050000000000000044,-13,-7,0,0,42,11,0
hägus,hä-gus,ämgis,2/3,3,N,0,2.05,4,2,2,872,462,276,437,1613,0,-2,0.24999999999999978,-18,-12,0,0,64,1,0
hägus,hä-gus,ämgas,2/3,3,N,1,2.0,4,2,2,872,462,254,447,1613,0,-1,0.19999999999999996,-18,-12,0,0,42,11,0
hägus,hä-gus,ängis,2/3,3,N,3,1.85,4,2,2,872,462,276,437,1613,0,1,0.050000000000000044,-18,-12,0,0,64,1,0
hägus,hä-gus,ängas,2/3,3,N,2,1.9,4,2,2,872,462,254,447,1613,0,0,0.09999999999999987,-18,-12,0,0,42,11,0
hägus,hä-gus,sägas,2/3,3,N,2,1.9,4,13,10,872,462,254,447,1613,0,0,0.09999999999999987,-7,-4,0,0,42,11,0
hägus,hä-gus,sägis,2/3,3,N,2,1.9,4,13,10,872,462,276,437,1613,0,0,0.09999999999999987,-7,-4,0,0,64,1,0
